"Path","Width","Height","KB"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-classic\PineApple House  (5).png","996","698","1237.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-intimate\victoria-falls-boat-sunset.jpg","1000","667","138.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-intimate\victoria-falls-forest-path.jpg","1000","667","264.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\SH (3).jpeg","1000","669","500.5"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\okavango-dry-season-private-safari\horse-riding.jpg","1000","673","96.2"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-untamed\Chindeni (12).jpg","1000","706","172.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\SH (3).jpg","1018","669","941.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-classic\PineApple House  (6).png","1023","687","1337.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\what-lgbtq-travellers-should-look-for-in-a-luxury-african-journey\hero.jpg","1024","682","163.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-classic\pineapple-house-lounge.jpg","1024","683","122.2"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\home\the-romantic-card.png","1024","1024","1284.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic-card.png","1024","1024","1693.6"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\home\romantic-boat.png","1024","1024","1399.2"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-classic\PineApple House  (3).png","1048","696","1222.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-classic\PineApple House  (7).png","1059","698","1351.6"
